	condition	gene	average_depth	depth_log10	protocol	dilution
1	Zhou_2P_E1	HA	24805.2	4.4	Zhou_2P	E1
2	Zhou_2P_E1	MP	109053.5	5	Zhou_2P	E1
3	Zhou_2P_E1	NA	12408.1	4.1	Zhou_2P	E1
4	Zhou_2P_E1	NP	17654.2	4.2	Zhou_2P	E1
5	Zhou_2P_E1	NS	10485	4	Zhou_2P	E1
6	Zhou_2P_E1	PA	2978.6	3.5	Zhou_2P	E1
7	Zhou_2P_E1	PB1	941.9	3	Zhou_2P	E1
8	Zhou_2P_E1	PB2	3387.8	3.5	Zhou_2P	E1
9	Zhou_2P_E2	HA	24258.3	4.4	Zhou_2P	E2
10	Zhou_2P_E2	MP	113314.7	5.1	Zhou_2P	E2
11	Zhou_2P_E2	NA	13556.1	4.1	Zhou_2P	E2
12	Zhou_2P_E2	NP	18409.9	4.3	Zhou_2P	E2
13	Zhou_2P_E2	NS	11495.1	4.1	Zhou_2P	E2
14	Zhou_2P_E2	PA	2876.2	3.5	Zhou_2P	E2
15	Zhou_2P_E2	PB1	994.1	3	Zhou_2P	E2
16	Zhou_2P_E2	PB2	3292.4	3.5	Zhou_2P	E2
17	Zhou_2P_E3	HA	19611.7	4.3	Zhou_2P	E3
18	Zhou_2P_E3	MP	102764.7	5	Zhou_2P	E3
19	Zhou_2P_E3	NA	12132.8	4.1	Zhou_2P	E3
20	Zhou_2P_E3	NP	15877.2	4.2	Zhou_2P	E3
21	Zhou_2P_E3	NS	11295.2	4.1	Zhou_2P	E3
22	Zhou_2P_E3	PA	2378.2	3.4	Zhou_2P	E3
23	Zhou_2P_E3	PB1	720.6	2.9	Zhou_2P	E3
24	Zhou_2P_E3	PB2	2710.9	3.4	Zhou_2P	E3
25	Zhou_2P_E4	HA	18317.1	4.3	Zhou_2P	E4
26	Zhou_2P_E4	MP	105495.8	5	Zhou_2P	E4
27	Zhou_2P_E4	NA	9392.8	4	Zhou_2P	E4
28	Zhou_2P_E4	NP	13487.3	4.1	Zhou_2P	E4
29	Zhou_2P_E4	NS	11375.3	4.1	Zhou_2P	E4
30	Zhou_2P_E4	PA	1565.4	3.2	Zhou_2P	E4
31	Zhou_2P_E4	PB1	519.9	2.7	Zhou_2P	E4
32	Zhou_2P_E4	PB2	1748.5	3.2	Zhou_2P	E4
33	Zhou_2P_E5	HA	12328.7	4.1	Zhou_2P	E5
34	Zhou_2P_E5	MP	67105.9	4.8	Zhou_2P	E5
35	Zhou_2P_E5	NA	7659.7	3.9	Zhou_2P	E5
36	Zhou_2P_E5	NP	10634.2	4	Zhou_2P	E5
37	Zhou_2P_E5	NS	6098.3	3.8	Zhou_2P	E5
38	Zhou_2P_E5	PA	1463.2	3.2	Zhou_2P	E5
39	Zhou_2P_E5	PB1	674	2.8	Zhou_2P	E5
40	Zhou_2P_E5	PB2	1447.1	3.2	Zhou_2P	E5
41	Zhou_2P_E6	HA	3991.1	3.6	Zhou_2P	E6
42	Zhou_2P_E6	MP	20368.5	4.3	Zhou_2P	E6
43	Zhou_2P_E6	NA	1630.2	3.2	Zhou_2P	E6
44	Zhou_2P_E6	NP	1758.8	3.2	Zhou_2P	E6
45	Zhou_2P_E6	NS	2368.9	3.4	Zhou_2P	E6
46	Zhou_2P_E6	PA	305.1	2.5	Zhou_2P	E6
47	Zhou_2P_E6	PB1	235.6	2.4	Zhou_2P	E6
48	Zhou_2P_E6	PB2	308.7	2.5	Zhou_2P	E6
49	Zhou_3P_E1	HA	9960.5	4	Zhou_3P	E1
50	Zhou_3P_E1	MP	53519	4.7	Zhou_3P	E1
51	Zhou_3P_E1	NA	17224.4	4.2	Zhou_3P	E1
52	Zhou_3P_E1	NP	19088.5	4.3	Zhou_3P	E1
53	Zhou_3P_E1	NS	17697.8	4.2	Zhou_3P	E1
54	Zhou_3P_E1	PA	4402.8	3.6	Zhou_3P	E1
55	Zhou_3P_E1	PB1	2138.3	3.3	Zhou_3P	E1
56	Zhou_3P_E1	PB2	3849.5	3.6	Zhou_3P	E1
57	Zhou_3P_E2	HA	12349	4.1	Zhou_3P	E2
58	Zhou_3P_E2	MP	70241.5	4.8	Zhou_3P	E2
59	Zhou_3P_E2	NA	21135.6	4.3	Zhou_3P	E2
60	Zhou_3P_E2	NP	24509.5	4.4	Zhou_3P	E2
61	Zhou_3P_E2	NS	22805.5	4.4	Zhou_3P	E2
62	Zhou_3P_E2	PA	4929.7	3.7	Zhou_3P	E2
63	Zhou_3P_E2	PB1	2429.1	3.4	Zhou_3P	E2
64	Zhou_3P_E2	PB2	4274.5	3.6	Zhou_3P	E2
65	Zhou_3P_E3	HA	11037.4	4	Zhou_3P	E3
66	Zhou_3P_E3	MP	67031.8	4.8	Zhou_3P	E3
67	Zhou_3P_E3	NA	19256	4.3	Zhou_3P	E3
68	Zhou_3P_E3	NP	22381.9	4.3	Zhou_3P	E3
69	Zhou_3P_E3	NS	21971.2	4.3	Zhou_3P	E3
70	Zhou_3P_E3	PA	3753.3	3.6	Zhou_3P	E3
71	Zhou_3P_E3	PB1	1755.9	3.2	Zhou_3P	E3
72	Zhou_3P_E3	PB2	3209.5	3.5	Zhou_3P	E3
73	Rambo_3P_E1	HA	18603.9	4.3	Rambo_3P	E1
74	Rambo_3P_E1	MP	49499.8	4.7	Rambo_3P	E1
75	Rambo_3P_E1	NA	24116.4	4.4	Rambo_3P	E1
76	Rambo_3P_E1	NP	25083.5	4.4	Rambo_3P	E1
77	Rambo_3P_E1	NS	24813.4	4.4	Rambo_3P	E1
78	Rambo_3P_E1	PA	9339.1	4	Rambo_3P	E1
79	Rambo_3P_E1	PB1	3733.5	3.6	Rambo_3P	E1
80	Rambo_3P_E1	PB2	7725.6	3.9	Rambo_3P	E1
81	Rambo_3P_E2	HA	14387.7	4.2	Rambo_3P	E2
82	Rambo_3P_E2	MP	39547.4	4.6	Rambo_3P	E2
83	Rambo_3P_E2	NA	19518.8	4.3	Rambo_3P	E2
84	Rambo_3P_E2	NP	19874.3	4.3	Rambo_3P	E2
85	Rambo_3P_E2	NS	19257.2	4.3	Rambo_3P	E2
86	Rambo_3P_E2	PA	7795.3	3.9	Rambo_3P	E2
87	Rambo_3P_E2	PB1	3391.8	3.5	Rambo_3P	E2
88	Rambo_3P_E2	PB2	6171.5	3.8	Rambo_3P	E2
89	Rambo_3P_E3	HA	15323.4	4.2	Rambo_3P	E3
90	Rambo_3P_E3	MP	41412.1	4.6	Rambo_3P	E3
91	Rambo_3P_E3	NA	20343.4	4.3	Rambo_3P	E3
92	Rambo_3P_E3	NP	21037.2	4.3	Rambo_3P	E3
93	Rambo_3P_E3	NS	18309.3	4.3	Rambo_3P	E3
94	Rambo_3P_E3	PA	8226.4	3.9	Rambo_3P	E3
95	Rambo_3P_E3	PB1	3994.9	3.6	Rambo_3P	E3
96	Rambo_3P_E3	PB2	6601.5	3.8	Rambo_3P	E3
97	Rambo_3P_E4	HA	11532	4.1	Rambo_3P	E4
98	Rambo_3P_E4	MP	32051.8	4.5	Rambo_3P	E4
99	Rambo_3P_E4	NA	16459.1	4.2	Rambo_3P	E4
100	Rambo_3P_E4	NP	16454.1	4.2	Rambo_3P	E4
101	Rambo_3P_E4	NS	11703.6	4.1	Rambo_3P	E4
102	Rambo_3P_E4	PA	6947.9	3.8	Rambo_3P	E4
103	Rambo_3P_E4	PB1	3697.5	3.6	Rambo_3P	E4
104	Rambo_3P_E4	PB2	5918.3	3.8	Rambo_3P	E4
105	Rambo_3P_E5	HA	6553.8	3.8	Rambo_3P	E5
106	Rambo_3P_E5	MP	17487.4	4.2	Rambo_3P	E5
107	Rambo_3P_E5	NA	10440.3	4	Rambo_3P	E5
108	Rambo_3P_E5	NP	9781.9	4	Rambo_3P	E5
109	Rambo_3P_E5	NS	6246.7	3.8	Rambo_3P	E5
110	Rambo_3P_E5	PA	4983.5	3.7	Rambo_3P	E5
111	Rambo_3P_E5	PB1	2637.4	3.4	Rambo_3P	E5
112	Rambo_3P_E5	PB2	3992.2	3.6	Rambo_3P	E5
113	Rambo_3P_E6	HA	2077.2	3.3	Rambo_3P	E6
114	Rambo_3P_E6	MP	6583.5	3.8	Rambo_3P	E6
115	Rambo_3P_E6	NA	5610.3	3.7	Rambo_3P	E6
116	Rambo_3P_E6	NP	5388.6	3.7	Rambo_3P	E6
117	Rambo_3P_E6	NS	2665.3	3.4	Rambo_3P	E6
118	Rambo_3P_E6	PA	1920.7	3.3	Rambo_3P	E6
119	Rambo_3P_E6	PB1	1318.3	3.1	Rambo_3P	E6
120	Rambo_3P_E6	PB2	2026.7	3.3	Rambo_3P	E6
121	Zhou_3P_E4	HA	10965.8	4	Zhou_3P	E4
122	Zhou_3P_E4	MP	77121.3	4.9	Zhou_3P	E4
123	Zhou_3P_E4	NA	20399.2	4.3	Zhou_3P	E4
124	Zhou_3P_E4	NP	23054.6	4.4	Zhou_3P	E4
125	Zhou_3P_E4	NS	25763.7	4.4	Zhou_3P	E4
126	Zhou_3P_E4	PA	3554.8	3.6	Zhou_3P	E4
127	Zhou_3P_E4	PB1	1361.8	3.1	Zhou_3P	E4
128	Zhou_3P_E4	PB2	2887.9	3.5	Zhou_3P	E4
129	Zhou_3P_E5	HA	6219.4	3.8	Zhou_3P	E5
130	Zhou_3P_E5	MP	41023.7	4.6	Zhou_3P	E5
131	Zhou_3P_E5	NA	10610.2	4	Zhou_3P	E5
132	Zhou_3P_E5	NP	12156.1	4.1	Zhou_3P	E5
133	Zhou_3P_E5	NS	14284.6	4.2	Zhou_3P	E5
134	Zhou_3P_E5	PA	1916	3.3	Zhou_3P	E5
135	Zhou_3P_E5	PB1	748.1	2.9	Zhou_3P	E5
136	Zhou_3P_E5	PB2	1484.3	3.2	Zhou_3P	E5
137	Zhou_3P_E6	HA	5613.9	3.7	Zhou_3P	E6
138	Zhou_3P_E6	MP	26957.3	4.4	Zhou_3P	E6
139	Zhou_3P_E6	NA	7411.3	3.9	Zhou_3P	E6
140	Zhou_3P_E6	NP	7330.9	3.9	Zhou_3P	E6
141	Zhou_3P_E6	NS	8233.8	3.9	Zhou_3P	E6
142	Zhou_3P_E6	PA	1587	3.2	Zhou_3P	E6
143	Zhou_3P_E6	PB1	762	2.9	Zhou_3P	E6
144	Zhou_3P_E6	PB2	1174	3.1	Zhou_3P	E6
145	Licheri_5uM_E1	HA	11401.8	4.1	Licheri_5uM	E1
146	Licheri_5uM_E1	MP	43740.6	4.6	Licheri_5uM	E1
147	Licheri_5uM_E1	NA	24545.7	4.4	Licheri_5uM	E1
148	Licheri_5uM_E1	NP	29019	4.5	Licheri_5uM	E1
149	Licheri_5uM_E1	NS	51162.2	4.7	Licheri_5uM	E1
150	Licheri_5uM_E1	PA	8107.2	3.9	Licheri_5uM	E1
151	Licheri_5uM_E1	PB1	4204.4	3.6	Licheri_5uM	E1
152	Licheri_5uM_E1	PB2	6886.5	3.8	Licheri_5uM	E1
153	Licheri_5uM_E2	HA	11074.8	4	Licheri_5uM	E2
154	Licheri_5uM_E2	MP	40447.6	4.6	Licheri_5uM	E2
155	Licheri_5uM_E2	NA	24055.8	4.4	Licheri_5uM	E2
156	Licheri_5uM_E2	NP	28450.6	4.5	Licheri_5uM	E2
157	Licheri_5uM_E2	NS	48230.3	4.7	Licheri_5uM	E2
158	Licheri_5uM_E2	PA	8007.4	3.9	Licheri_5uM	E2
159	Licheri_5uM_E2	PB1	4599.2	3.7	Licheri_5uM	E2
160	Licheri_5uM_E2	PB2	6782	3.8	Licheri_5uM	E2
161	Licheri_5uM_E3	HA	10654.5	4	Licheri_5uM	E3
162	Licheri_5uM_E3	MP	38659.7	4.6	Licheri_5uM	E3
163	Licheri_5uM_E3	NA	24949.7	4.4	Licheri_5uM	E3
164	Licheri_5uM_E3	NP	28063.4	4.4	Licheri_5uM	E3
165	Licheri_5uM_E3	NS	44237.8	4.6	Licheri_5uM	E3
166	Licheri_5uM_E3	PA	8695.8	3.9	Licheri_5uM	E3
167	Licheri_5uM_E3	PB1	5198	3.7	Licheri_5uM	E3
168	Licheri_5uM_E3	PB2	7378.9	3.9	Licheri_5uM	E3
169	Licheri_5uM_E4	HA	5345.4	3.7	Licheri_5uM	E4
170	Licheri_5uM_E4	MP	19959.1	4.3	Licheri_5uM	E4
171	Licheri_5uM_E4	NA	14395.5	4.2	Licheri_5uM	E4
172	Licheri_5uM_E4	NP	16178.7	4.2	Licheri_5uM	E4
173	Licheri_5uM_E4	NS	23708.7	4.4	Licheri_5uM	E4
174	Licheri_5uM_E4	PA	5872.6	3.8	Licheri_5uM	E4
175	Licheri_5uM_E4	PB1	3486.8	3.5	Licheri_5uM	E4
176	Licheri_5uM_E4	PB2	4593.7	3.7	Licheri_5uM	E4
177	Licheri_5uM_E5	HA	2444.7	3.4	Licheri_5uM	E5
178	Licheri_5uM_E5	MP	9886	4	Licheri_5uM	E5
179	Licheri_5uM_E5	NA	7540.4	3.9	Licheri_5uM	E5
180	Licheri_5uM_E5	NP	8866.9	3.9	Licheri_5uM	E5
181	Licheri_5uM_E5	NS	12160.9	4.1	Licheri_5uM	E5
182	Licheri_5uM_E5	PA	3355	3.5	Licheri_5uM	E5
183	Licheri_5uM_E5	PB1	1775.9	3.2	Licheri_5uM	E5
184	Licheri_5uM_E5	PB2	2555.2	3.4	Licheri_5uM	E5
185	Licheri_5uM_E6	HA	905.5	3	Licheri_5uM	E6
186	Licheri_5uM_E6	MP	3474.8	3.5	Licheri_5uM	E6
187	Licheri_5uM_E6	NA	2650.8	3.4	Licheri_5uM	E6
188	Licheri_5uM_E6	NP	3102.3	3.5	Licheri_5uM	E6
189	Licheri_5uM_E6	NS	3286.2	3.5	Licheri_5uM	E6
190	Licheri_5uM_E6	PA	824.5	2.9	Licheri_5uM	E6
191	Licheri_5uM_E6	PB1	310.1	2.5	Licheri_5uM	E6
192	Licheri_5uM_E6	PB2	725.9	2.9	Licheri_5uM	E6
